,20211028
0,3
1,1
2,3
3,2
4,2
5,2
6,3
7,3
8,1
9,2
10,3
11,2
12,3
13,2
14,2
15,1
16,1
17,2
18,2
19,1
20,3
21,1
22,3
23,3
24,3
25,1
26,1
27,2
28,3
29,4
30,4
31,1
32,2
33,1
34,1
35,1
36,1
37,3
38,1
39,1
40,3
41,1
42,1
43,2
44,3
45,1
46,2
47,1
48,3
49,1
50,3
51,1
52,3
53,3
54,3
55,2
56,1
57,1
58,2
59,3
60,1
61,3
62,1
63,1
64,2
65,2
66,3
67,3
68,4
69,1
70,1
71,2
72,1
73,3
74,3
75,3
76,3
77,1
78,1
79,3
80,2
81,2
82,3
83,3
84,1
85,1
86,3
87,1
88,1
89,2
90,3
91,3
92,1
93,3
94,3
95,3
96,1
97,3
98,1
99,1
100,1
101,4
102,1
103,3
104,2
105,3
106,3
107,3
108,2
109,3
110,2
111,2
112,1
113,1
114,3
115,3
116,1
117,3
118,1
119,1
120,2
121,3
122,3
123,1
124,3
125,3
126,3
127,3
128,1
129,3
130,1
131,1
132,3
133,2
134,2
135,1
136,2
137,3
138,1
139,1
140,3
141,3
142,4
143,2
144,1
145,1
146,1
147,3
148,1
149,1
150,2
151,3
152,3
153,3
154,3
155,1
156,1
157,1
158,1
159,3
160,4
161,3
162,1
163,1
164,3
165,3
166,3
167,3
168,4
169,1
170,2
171,1
172,2
173,3
174,1
175,1
176,4
177,3
178,4
179,3
180,3
181,1
182,2
183,3
184,1
185,3
186,1
187,3
188,2
189,1
190,2
191,1
192,3
193,1
194,4
195,1
196,1
197,1
198,3
199,1
200,1
201,3
202,1
203,2
204,1
205,1
206,3
207,1
208,1
209,1
210,2
211,3
212,3
213,1
214,3
215,1
216,4
217,3
218,2
219,4
220,3
221,3
222,1
223,4
224,1
225,3
226,1
227,1
228,1
229,4
230,1
231,1
232,1
233,2
234,1
235,1
236,2
237,1
238,1
239,3
240,1
241,2
242,1
243,1
244,3
245,1
246,3
247,1
248,2
249,1
250,3
251,1
252,2
253,2
254,3
255,1
256,2
257,1
258,2
259,3
260,2
261,1
262,1
263,3
264,1
265,3
266,1
267,1
268,3
269,2
270,2
271,1
272,1
273,1
274,1
275,1
276,4
277,2
278,2
279,2
280,3
281,2
282,4
283,1
284,3
285,3
286,2
287,3
288,1
289,4
290,1
291,2
292,1
293,1
294,3
295,1
296,3
297,1
298,1
299,1
300,1
301,1
302,3
303,4
304,1
305,1
306,2
307,2
308,1
309,1
310,1
311,1
312,1
313,1
314,3
315,1
316,2
317,1
318,1
319,4
320,1
321,1
322,3
323,3
324,1
325,2
326,2
327,3
328,1
329,3
330,2
331,2
332,3
333,1
334,3
335,4
336,1
337,1
338,1
339,1
340,1
341,2
342,1
343,3
344,3
345,1
346,1
347,2
348,3
349,2
350,1
351,1
352,1
353,1
354,3
355,2
356,3
357,1
358,1
359,3
360,2
361,3
362,1
363,2
364,1
365,1
366,1
367,2
368,3
369,1
370,1
371,3
372,1
373,2
374,1
375,3
376,2
377,2
378,3
379,1
380,1
381,3
382,1
383,3
384,3
385,1
386,1
387,1
388,1
389,3
390,1
391,1
392,3
393,2
394,1
395,4
396,1
397,2
398,1
399,3
400,1
401,1
402,1
403,1
404,1
405,1
406,1
407,1
408,3
409,2
410,2
411,1
412,1
413,4
414,1
415,2
416,2
417,2
418,2
419,1
420,3
421,2
422,1
423,3
424,3
425,1
426,3
427,2
428,4
429,1
430,2
431,3
432,3
433,3
434,1
435,1
436,1
437,3
438,3
439,2
440,2
441,3
442,1
443,1
444,2
445,1
446,3
447,3
448,1
449,3
450,3
451,3
452,2
453,3
454,1
455,1
456,1
457,1
458,3
459,2
460,3
461,1
462,3
463,1
464,2
465,3
466,2
467,2
468,2
469,2
470,2
471,1
472,1
473,1
474,1
475,1
476,1
477,2
478,1
479,1
480,1
481,1
482,2
483,1
484,1
485,1
486,1
487,3
488,3
489,1
490,4
491,1
492,1
493,3
494,3
495,1
496,2
497,2
498,4
499,1
500,3
501,3
502,1
503,1
504,3
505,1
506,1
507,3
508,4
509,3
510,3
511,3
512,2
513,1
514,1
515,1
516,2
517,1
518,1
519,3
520,1
521,3
522,1
523,1
524,1
525,3
526,4
527,2
528,1
529,3
530,3
531,1
532,1
533,1
534,1
535,3
536,3
537,1
538,1
539,3
540,1
541,3
542,2
543,1
544,1
545,4
546,3
547,3
548,1
549,1
550,1
551,2
552,2
553,1
554,2
555,2
556,3
557,3
558,3
559,1
560,4
561,1
562,1
563,1
564,4
